reported,incident_type,occurred_start,occurred_end,location,street_address,city,disposition,latitude,longitude
2018-01-20 04:48:00,ASSIST STATE POLICE,2018-01-20 04:48:00,2018-01-20 04:48:00,WEEKS FOOTBRIDGE,1 MEMORIAL DR,CAMBRIDGE,CLOSED,42.3683604,-71.1182669
2018-01-20 10:51:00,THEFT REPORT,2018-01-17 16:00:00,2018-01-20 10:45:00,HAMILTON HALL,700 SOLDIERS FIELD RD,ALLSTON,CLOSED,42.3678269,-71.1232567
2018-01-20 12:08:00,DEMONSTRATION,2018-01-20 11:20:00,2018-01-20 14:30:00,HARVARD YARD,1 PEABODY STREET,CAMBRIDGE,CLOSED,42.3671021,-71.1154911
2018-01-20 12:44:00,TRESPASS LETTER,2018-01-20 12:20:00,2018-01-20 12:20:00,ATHLETICS - LAVIETES PAVILION,79 N HARVARD ST,ALLSTON,CLOSED,42.3667301,-71.12749099999999
2018-01-20 17:32:00,SUSPICIOUS ACTIVITY,2018-01-20 17:32:00,2018-01-20 17:32:00,WASSERSTEIN HALL,1585 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.379404,-71.1195841
2018-01-20 21:05:00,UNWANTED GUEST,2018-01-20 21:05:00,2018-01-20 21:05:00,ATHLETICS - LAVIETES PAVILION,79 N HARVARD ST,ALLSTON,CLOSED,42.3670806,-71.1249404
2018-01-20 23:42:00,LOUD PARTY,2018-01-20 23:42:00,2018-01-20 23:42:00,KIRKLAND HOUSE DINING HALL,80 JFK ST,CAMBRIDGE,CLOSED,42.3709029,-71.1213301
2018-01-04 02:48:00,SUSPICIOUS ACTIVITY,2018-01-04 02:48:00,2018-01-04 02:48:00,WASSERSTEIN HALL,1585 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.379404,-71.1195841
2018-01-04 10:50:00,FIRE,2018-01-04 10:50:00,2018-01-04 11:24:00,SHAW HALL,16 EVERETT ST,CAMBRIDGE,CLOSED,42.3798305,-71.1182304
2018-01-04 12:39:00,PROPERTY DAMAGE,2018-01-04 12:39:00,2018-01-04 13:30:00,277-279 WESTERN AVE,277 WESTERN AVE,ALLSTON,CLOSED,42.3635421,-71.1337344
2018-01-04 14:15:00,PROPERTY DAMAGE,2018-01-04 14:10:00,2018-01-04 16:00:00,WINTHROP HOUSE G - GORE HALL,32 MILL ST,CAMBRIDGE,CLOSED,42.3704207,-71.11990569999999
2018-01-04 23:17:00,PROPERTY DAMAGE,2018-01-04 23:17:00,2018-01-05 00:12:00,BOYLSTON HALL,5 HARVARD YARD,CAMBRIDGE,CLOSED,42.3723356,-71.1152843
2018-02-05 00:55:00,ASSIST CAMBRIDGE POLICE,2018-02-05 00:40:00,2018-02-05 01:20:00,PFORZHEIMER HOUSE - MOORS HALL,56 LINNAEAN ST,CAMBRIDGE,CLOSED,42.3821276,-71.12484500000001
2018-02-05 08:03:00,UNWANTED GUEST,2018-02-05 08:03:00,2018-02-05 08:03:00,PEABODY TERRACE 31,900 MEMORIAL DR,CAMBRIDGE,CLOSED,42.3662518,-71.1152777
